CMDLINE /home/seungho/.virtualenvs/DS/bin/python julia_example.py
MEM 0.269531 1584064011.9049
MEM 14.753906 1584064012.0052
MEM 22.902344 1584064012.1057
MEM 30.675781 1584064012.2063
MEM 39.765625 1584064012.3070
MEM 53.273438 1584064012.4078
MEM 66.937500 1584064012.5085
MEM 83.398438 1584064012.6096
MEM 99.164062 1584064012.7099
MEM 118.214844 1584064012.8111
MEM 118.218750 1584064012.9118
MEM 118.257812 1584064013.0123
MEM 118.300781 1584064013.1126
MEM 118.351562 1584064013.2129
MEM 118.398438 1584064013.3132
MEM 118.449219 1584064013.4139
MEM 118.503906 1584064013.5147
MEM 118.550781 1584064013.6152
MEM 118.601562 1584064013.7155
MEM 118.636719 1584064013.8157
MEM 118.679688 1584064013.9160
MEM 118.734375 1584064014.0166
MEM 118.789062 1584064014.1169
MEM 118.832031 1584064014.2171
MEM 118.886719 1584064014.3174
MEM 118.933594 1584064014.4177
MEM 118.988281 1584064014.5184
MEM 119.035156 1584064014.6186
MEM 119.085938 1584064014.7189
MEM 119.113281 1584064014.8192
MEM 119.144531 1584064014.9194
MEM 119.195312 1584064015.0205
MEM 119.234375 1584064015.1214
MEM 119.289062 1584064015.2221
MEM 119.343750 1584064015.3228
MEM 119.398438 1584064015.4235
MEM 119.457031 1584064015.5244
MEM 119.515625 1584064015.6250
MEM 119.558594 1584064015.7256
MEM 119.605469 1584064015.8260
MEM 119.648438 1584064015.9267
MEM 119.707031 1584064016.0274
MEM 119.761719 1584064016.1282
MEM 119.816406 1584064016.2289
MEM 119.855469 1584064016.3296
MEM 119.898438 1584064016.4303
MEM 119.945312 1584064016.5311
MEM 119.992188 1584064016.6318
MEM 120.046875 1584064016.7324
MEM 120.082031 1584064016.8331
MEM 120.125000 1584064016.9338
FUNC __main__.calculate_z_serial_purepython 110.5742 1584064012.7965 121.3281 1584064019.5796 1
FUNC __main__.calc_pure_python 33.2148 1584064012.2672 33.7148 1584064019.6197 0
MEM 120.167969 1584064017.0348
MEM 120.195312 1584064017.1353
MEM 120.234375 1584064017.2360
MEM 120.273438 1584064017.3368
MEM 120.324219 1584064017.4375
MEM 120.363281 1584064017.5382
MEM 120.402344 1584064017.6389
MEM 120.453125 1584064017.7392
MEM 120.503906 1584064017.8396
MEM 120.562500 1584064017.9399
MEM 120.617188 1584064018.0407
MEM 120.667969 1584064018.1413
MEM 120.707031 1584064018.2417
MEM 120.757812 1584064018.3423
MEM 120.812500 1584064018.4431
MEM 120.855469 1584064018.5438
MEM 120.910156 1584064018.6445
MEM 120.964844 1584064018.7453
MEM 121.023438 1584064018.8461
MEM 121.078125 1584064018.9468
MEM 121.132812 1584064019.0472
MEM 121.171875 1584064019.1476
MEM 121.218750 1584064019.2484
MEM 121.265625 1584064019.3491
MEM 121.312500 1584064019.4499
MEM 121.324219 1584064019.5505
MEM 33.714844 1584064019.6512
